,2017,Mercedes-Benz,Mercedes-Benz,B250e,MBX,504,0.0,,Auto(A1),85,82,84,122.0000,117.0000,119.6981,85.4000,81.9000,83.7887,,,,A,Automatic,,1,N,N,F,"2-Wheel Drive, Front",,,87,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,90,22,,,800,800,,,,,,,,,,,,,,,,,,,,,,,5,Midsize Cars,car,Electric Vehicle 2-cycle label,7/31/16,20600,,,N,,,N,N,,,,,,,,Battery(s),,12,Lithium Ion,,367,120.00,125.9,On-Board,,,Electrical Regen Brake,,Front Wheels,Y,,,,,1,AC Induction,,132,,,,,N,Y,,,Y,Yes,BEV,,,,,,,,,,10,10,,HMBXV00.0ED2,10,,,,,,,,,,,,,,,3000,,0,0,0,,3.50,,,,,,89,85,87,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[tested in the default mode only (the ""E-mode"")]",,,,,,,,39,41,40,27.6253,28.8092,28.1581,39.4672,41.1538,40.2262,,,,A,Automatic,,1,N,N,F,"2-Wheel Drive, Front",,,87,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,90,22,,,800,800,,,,,,,,,,,,,,,,,,,,,,,5,Midsize Cars,car,Electric Vehicle 2-cycle label,7/31/16,20600,,,N,,,N,N,,,,,,,,Battery(s),,12,Lithium Ion,,367,120.00,125.9,On-Board,,,Electrical Regen Brake,,Front Wheels,Y,,,,,1,AC Induction,,132,,,,,N,Y,,,Y,Yes,BEV,,,,,,,,,,10,10,,HMBXV00.0ED2,10,,,,,,,,,,,,,,,3000,,0,0,0,,3.50,,,,,,89,85,87,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2017 Mitsubishi i-MiEV,,,,,,,,,,,,,,,,,2017 Mitsubishi i-MiEV,,,,,,,,,,,,,,,,2017 Mitsubishi i-MiEV,,,,,,,,,,,,,,,2017 Mitsubishi i-MiEV,,,,,,,,,,,,,, ,,2017 Mitsubishi i-MiEV,,,,,, ,,,,,,,,,,2017 Mitsubishi i-MiEV,,,,,,,,,,,,,,,,,2017 Mitsubishi i-MiEV,,,,,,,,,,,,,,,,,2017 Mitsubishi i-MiEV,,,, ,,,,,,,,,,,2017 Mitsubishi i-MiEV,,,,,,,,,,,,,,,2017 Mitsubishi i-MiEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Mitsubishi Motors Co,Mitsubishi Motors Corporation,i-MiEV,MTX,141,0.0,,Auto(A1),121,102,112,172.5366,146.1258,159.5591,120.7756,102.288,111.6914,,,,A,Automatic,,1,Y,N,R,"2-Wheel Drive, Rear",,,59,EL,Electricity,MPG,miles per gallon,N,Not exempt,,,,,85,13,600,600,,,,,,,,,,,,,,,,,,,,,,,3,Subcompact Cars,car,Electric Vehicle 2-cycle label,2/1/16,19277,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,330,50,110,Off-Board,,,Electrical Regen Brake,,Rear Wheels,Y,,,,,1,"DC Permanent Magnet, brushless",,49,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,HMTXV00.0E1T,10,,,,,,,,,,,,,,,4000,,0,0,0,,7,,,,,,63.9,54.0,59,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Mitsubishi Motors Co,Mitsubishi Motors Corporation,i-MiEV,MTX,141,0.0,,Auto(A1),28,33,30,19.535,23.0657,21.1238,27.9071,32.9511,30.1769,,,,A,Automatic,,1,Y,N,R,"2-Wheel Drive, Rear",,,59,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,N,Not exempt,,,,,85,13,600,600,,,,,,,,,,,,,,,,,,,,,,,3,Subcompact Cars,car,Electric Vehicle 2-cycle label,2/1/16,19277,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,330,50,110,Off-Board,,,Electrical Regen Brake,,Rear Wheels,Y,,,,,1,"DC Permanent Magnet, brushless",,49,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,HMTXV00.0E1T,10,,,,,,,,,,,,,,,4000,,0,0,0,,7,,,,,,63.9,54.0,59,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2017 Nissan Leaf,,,,,,,,,,,,,,,,,2017 Nissan Leaf,,,,,,,,,,,,,,,,2017 Nissan Leaf,,,,,,,,,,,,,,,2017 Nissan Leaf,,,,,,,,,,,,,, ,,2017 Nissan Leaf,,,,,, ,,,,,,,,,,2017 Nissan Leaf,,,,,,,,,,,,,,,,,2017 Nissan Leaf,,,,,,,,,,,,,,,,,2017 Nissan Leaf,,,, ,,,,,,,,,,,2017 Nissan Leaf,,,,,,,,,,,,,,,2017 Nissan Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Nissan,NISSAN,LEAF,NSX,902,0.0,,Auto(A1),124,101,112,176.5,144.6,160.5605,123.55,101.22,112.3924,,,,A,Automatic,,1,Y,N,F,"2-Wheel Drive, Front",,,107,EL,Electricity,MPG,miles per gallon,N,Not exempt,,,,,92,24,600,0,,,,,,,,,,,,,,,,,,,,,,,5,Midsize Cars,car,Electric Vehicle 5-cycle label,11/9/16,21227,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,360,83,102,On-Board,,,Electrical Regen Brake,,Front Wheels,N,,,,,1,"DC Permanent Magnet, brushless",,80,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,HNSXV0000LLB,10,,,,,,,,,,,,,,,4000,,0,0,0,,6 Hours (6.6kW 240V charger); 10 hours (3.6kW 240V charger),,,,,,116,95,107,,,,,,,,,,,,,,,,,,,,,,,,,
,,     (Tested in ECO Mode),,,,,,,,27,33,30,19.1002,23.3037,20.9918,27.2805,33.2988,29.9887,,,,A,Automatic,,1,Y,N,F,"2-Wheel Drive, Front",,,107,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,N,Not exempt,,,,,92,24,600,600,,,,,,,,,,,,,,,,,,,,,,,5,Midsize Cars,car,Electric Vehicle 5-cycle label,11/9/16,21227,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,360,83,102,On-Board,,,Electrical Regen Brake,,Front Wheels,N,,,,,1,"DC Permanent Magnet, brushless",,80,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,HNSXV0000LLB,10,,,,,,,,,,,,,,,4000,,0,0,0,,6 Hours (6.6kW 240V charger); 10 hours (3.6kW 240V charger),,,,,,116,95,107,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2017 Tesla Model S AWD - 60D,,,,,,,,,,,,,,,,,2017 Tesla Model S AWD - 60D,,,,,,,,,,,,,,,,2017 Tesla Model S AWD - 60D,,,,,,,,,,,,,,,2017 Tesla Model S AWD - 60D,,,,,,,,,,,,,, ,,2017 Tesla Model S AWD - 60D,,,,,, ,,,,,,,,,,2017 Tesla Model S AWD - 60D,,,,,,,,,,,,,,,,,2017 Tesla Model S AWD - 60D,,,,,,,,,,,,,,,,,2017 Tesla Model S AWD - 60D,,,, ,,,,,,,,,,,2017 Tesla Model S AWD - 60D,,,,,,,,,,,,,,,2017 Tesla Model S AWD - 60D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Tesla,Tesla Motors,Model S 60D,TSL,21,0.0,,Auto(A1),101,107,104,137.5,144.6,140.6068,101.475,106.7148,103.7678,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,218,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,94,26,650,650,,,,,,,,,,,,,,,,,,,,,,,6,Large Cars,car,Electric Vehicle 2-cycle label,12/26/16,21314,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,245,170,On-Board,,,Electrical Regen Brake,,Both,N,,,,"Three battery variants (60D,75D 90D) is available for 2017 MY Dual Motor Model S vehicles.",2,AC Induction,,193 and 193,,,,,N,Y,,,N,No,60D,,,,,,,,,,10,10,,HTSLV00.0L2S,10,,,,,,,,,,,,,,,3750,,0,0,0,,12 hrs (standard charger); 3.75 hrs (with 80A dual charger option),,,,,,215.4,221.1,218,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Tesla,Tesla Motors,Model S 60D,TSL,21,0.0,,Auto(A1),33,32,32,24.518,23.309,23.974,33.2151,31.5842,32.4812,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,218,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,94,26,650,650,,,,,,,,,,,,,,,,,,,,,,,6,Large Cars,car,Electric Vehicle 2-cycle label,12/26/16,21314,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,245,170,On-Board,,,Electrical Regen Brake,,Both,N,,,,"Three battery variants (60D,75D 90D) is available for 2017 MY Dual Motor Model S vehicles.",2,AC Induction,,193 and 193,,,,,N,Y,,,N,No,60D,,,,,,,,,,10,10,,HTSLV00.0L2S,10,,,,,,,,,,,,,,,3750,,0,0,0,,12 hrs (standard charger); 3.75 hrs (with 80A dual charger option),,,,,,Combined range voluntarily lowered to 218 miles,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2017 Tesla Model S AWD - 75D,,,,,,,,,,,,,,,,,2017 Tesla Model S AWD - 75D,,,,,,,,,,,,,,,,2017 Tesla Model S AWD - 75D,,,,,,,,,,,,,,,2017 Tesla Model S AWD - 75D,,,,,,,,,,,,,, ,,2017 Tesla Model S AWD - 75D,,,,,, ,,,,,,,,,,2017 Tesla Model S AWD - 75D,,,,,,,,,,,,,,,,,2017 Tesla Model S AWD - 75D,,,,,,,,,,,,,,,,,2017 Tesla Model S AWD - 75D,,,, ,,,,,,,,,,,2017 Tesla Model S AWD - 75D,,,,,,,,,,,,,,,2017 Tesla Model S AWD - 75D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Tesla,Tesla Motors,Model S 75D,TSL,61,0.0,,Auto(A1),102,105,103,137.9,142.7,140.0194,101.7702,105.3126,103.3343,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,259,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,94,26,650,650,,,,,,,,,,,,,,,,,,,,,,,6,Large Cars,car,Electric Vehicle 2-cycle label,12/26/16,21317,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,245,170,On-Board,,,Electrical Regen Brake,,Both,N,,,,"Three battery variants (60D,75D 90D) is available for 2017 MY Dual Motor Model S vehicles.",2,AC Induction,,193 and 193,,,,,N,Y,,,N,No,75D,,,,,,,,,,10,10,,HTSLV00.0L2S,10,,,,,,,,,,,,,,,3750,,0,0,0,,12 hrs (standard charger); 4.75 hrs (with 80A dual charger option),,,,,,255.0,264.6,259,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Tesla,Tesla Motors,Model S 75D,TSL,61,0.0,,Auto(A1),33,32,33,25.446,23.613,24.0712,33.1187,32.0047,32.6174,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,259,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,94,26,650,650,,,,,,,,,,,,,,,,,,,,,,,6,Large Cars,car,Electric Vehicle 2-cycle label,12/26/16,21317,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,245,170,On-Board,,,Electrical Regen Brake,,Both,N,,,,"Three battery variants (60D,75D 90D) is available for 2017 MY Dual Motor Model S vehicles.",2,AC Induction,,193 and 193,,,,,N,Y,,,N,No,75D,,,,,,,,,,10,10,,HTSLV00.0L2S,10,,,,,,,,,,,,,,,3750,,0,0,0,,12 hrs (standard charger); 4.75 hrs (with 80A dual charger option),,,,,,255.0,264.6,259,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2017 Tesla Model S AWD - P90D,,,,,,,,,,,,,,,,,2017 Tesla Model S AWD - P90D,,,,,,,,,,,,,,,,2017 Tesla Model S AWD - P90D,,,,,,,,,,,,,,,2017 Tesla Model S AWD - P90D,,,,,,,,,,,,,, ,,2017 Tesla Model S AWD - P90D,,,,,, ,,,,,,,,,,2017 Tesla Model S AWD - P90D,,,,,,,,,,,,,,,,,2017 Tesla Model S AWD - P90D,,,,,,,,,,,,,,,,,2017 Tesla Model S AWD - P90D,,,, ,,,,,,,,,,,2017 Tesla Model S AWD - P90D,,,,,,,,,,,,,,,2017 Tesla Model S AWD - P90D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Tesla,Tesla Motors,Model S P90D,TSL,8,0.0,,Auto(A1),92,100,95,124.2,135.8,129.165,91.6596,100.2204,95.3238,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,270,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,94,26,700,700,,,,,,,,,,,,,,,,,,,,,,,6,Large Cars,car,Electric Vehicle 2-cycle label,12/26/16,21326,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,245,170,On-Board,,,Electrical Regen Brake,,Both,N,,,,"Three battery variants (60D,75D 90D) is available for 2017 MY Dual Motor Model S vehicles.",2,AC Induction,,193 and 375,,,,,N,Y,,,N,No,P90D,,,,,,,,,,10,10,,HTSLV00.0L2S,10,,,,,,,,,,,,,,,3500,,0,0,0,,12 hrs (standard charger); 4.75 hrs (with 80A dual charger option),,,,,,259.4,282.9,270,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Tesla,Tesla Motors,Model S P90D,TSL,8,0.0,,Auto(A1),37,34,35,27.1336,24.8282,26.0962,36.7719,33.6309,35.3584,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,270,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,94,26,700,700,,,,,,,,,,,,,,,,,,,,,,,6,Large Cars,car,Electric Vehicle 2-cycle label,12/26/16,21326,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,245,170,On-Board,,,Electrical Regen Brake,,Both,N,,,,"Three battery variants (60D,75D 90D) is available for 2017 MY Dual Motor Model S vehicles.",2,AC Induction,,193 and 375,,,,,N,Y,,,N,No,P90D,,,,,,,,,,10,10,,HTSLV00.0L2S,10,,,,,,,,,,,,,,,3500,,0,0,0,,12 hrs (standard charger); 4.75 hrs (with 80A dual charger option),,,,,,Combined range voluntarily lowered to 270 miles,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2017 Tesla Model S AWD - P100D,,,,,,,,,,,,,,,,,2017 Tesla Model S AWD - P100D,,,,,,,,,,,,,,,,2017 Tesla Model S AWD - P100D,,,,,,,,,,,,,,,2017 Tesla Model S AWD - P100D,,,,,,,,,,,,,, ,,2017 Tesla Model S AWD - P100D,,,,,, ,,,,,,,,,,2017 Tesla Model S AWD - P100D,,,,,,,,,,,,,,,,,2017 Tesla Model S AWD - P100D,,,,,,,,,,,,,,,,,2017 Tesla Model S AWD - P100D,,,, ,,,,,,,,,,,2017 Tesla Model S AWD - P100D,,,,,,,,,,,,,,,2017 Tesla Model S AWD - P100D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Tesla,Tesla Motors,Model S P100D,TSL,15,0.0,,Auto(A1),92,105,98,125.3,141.6,132.1452,92.4713,104.5008,97.5232,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,315,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,94,26,650,650,,,,,,,,,,,,,,,,,,,,,,,6,Large Cars,car,Electric Vehicle 2-cycle label,12/26/16,21320,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,245,170,On-Board,,,Electrical Regen Brake,,Both,N,,,,"Three battery variants (60D,75D 90D) is available for 2017 MY Dual Motor Model S vehicles.",2,AC Induction,,193 and 375,,,,,N,Y,,,N,No,P100D,,,,,,,,,,10,10,,HTSLV00.0L2S,10,,,,,,,,,,,,,,,3750,,0,0,0,,12 hrs (standard charger); 4.75 hrs (with 80A dual charger option),,,,,,297.1,336.9,315,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Tesla,Tesla Motors,Model S P100D,TSL,15,0.0,,Auto(A1),36,32,35,26.896,23.805,25.5051,36.4491,32.2533,34.561,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,315,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,94,26,650,650,,,,,,,,,,,,,,,,,,,,,,,6,Large Cars,car,Electric Vehicle 2-cycle label,12/26/16,21320,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,245,170,On-Board,,,Electrical Regen Brake,,Both,N,,,,"Three battery variants (60D,75D 90D) is available for 2017 MY Dual Motor Model S vehicles.",2,AC Induction,,193 and 375,,,,,N,Y,,,N,No,P100D,,,,,,,,,,10,10,,HTSLV00.0L2S,10,,,,,,,,,,,,,,,3750,,0,0,0,,12 hrs (standard charger); 4.75 hrs (with 80A dual charger option),,,,,,Combined range voluntarily lowered to 315 miles,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2017 Tesla Model X AWD - 60D,,,,,,,,,,,,,,,,,2017 Tesla Model X AWD - 60D,,,,,,,,,,,,,,,,2017 Tesla Model X AWD - 60D,,,,,,,,,,,,,,,2017 Tesla Model X AWD - 60D,,,,,,,,,,,,,, ,,2017 Tesla Model X AWD - 60D,,,,,, ,,,,,,,,,,2017 Tesla Model X AWD - 60D,,,,,,,,,,,,,,,,,2017 Tesla Model X AWD - 60D,,,,,,,,,,,,,,,,,2017 Tesla Model X AWD - 60D,,,, ,,,,,,,,,,,2017 Tesla Model X AWD - 60D,,,,,,,,,,,,,,,2017 Tesla Model X AWD - 60D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Tesla,Tesla Motors,Model X 60D,TSL,12,0.0,,Auto(A1),91,94,93,124.3,128.4,126.1121,91.2362,94.2456,92.5663,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,200,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,700,700,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 2-cycle label,12/26/16,21349,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,350,250,150,On-Board,,,Electrical Regen Brake,,Both,N,,,,"Three battery sizes (75kwh, 90kWh and 100kWh) is available for 2017MY Model X AWD vehicles.",2,AC Induction,,193 and 193,,,,,N,N,,,N,No,60D,,,,,,,,,,10,10,,HTSLV00.0L2X,10,,,,,,,,,,,,,,,3500,,0,0,0,,12 hrs (standard charger); 4.75 hrs (with 80A dual charger option),,,,,,196.5,203.2,200,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Tesla,Tesla Motors,Model X 60D,TSL,12,0.0,,Auto(A1),37,36,36,27.122,26.2398,26.725,36.9426,35.7629,36.4117,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,200,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,700,700,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 2-cycle label,12/26/16,21349,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,350,250,150,On-Board,,,Electrical Regen Brake,,Both,N,,,,"Three battery sizes (75kwh, 90kWh and 100kWh) is available for 2017MY Model X AWD vehicles.",2,AC Induction,,193 and 193,,,,,N,N,,,N,No,60D,,,,,,,,,,10,10,,HTSLV00.0L2X,10,,,,,,,,,,,,,,,3500,,0,0,0,,12 hrs (standard charger); 4.75 hrs (with 80A dual charger option),,,,,,196.5,203.2,200,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2017 Tesla Model X AWD - 75D,,,,,,,,,,,,,,,,,2017 Tesla Model X AWD - 75D,,,,,,,,,,,,,,,,2017 Tesla Model X AWD - 75D,,,,,,,,,,,,,,,2017 Tesla Model X AWD - 75D,,,,,,,,,,,,,, ,,2017 Tesla Model X AWD - 75D,,,,,, ,,,,,,,,,,2017 Tesla Model X AWD - 75D,,,,,,,,,,,,,,,,,2017 Tesla Model X AWD - 75D,,,,,,,,,,,,,,,,,2017 Tesla Model X AWD - 75D,,,, ,,,,,,,,,,,2017 Tesla Model X AWD - 75D,,,,,,,,,,,,,,,2017 Tesla Model X AWD - 75D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Tesla,Tesla Motors,Model X 75D,TSL,11,0.0,,Auto(A1),91,95,93,124.2,130,126.7446,91.1628,95.42,93.0305,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,238,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,700,0,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 2-cycle label,12/26/16,21348,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,350,250,150,On-Board,,,Electrical Regen Brake,,Both,N,,,,"Three battery sizes (75kwh, 90kWh and 100kWh) is available for 2017MY Model X AWD vehicles.",2,AC Induction,,193 and 193,,,,,N,N,,,N,No,75D,,,,,,,,,,10,10,,HTSLV00.0L2X,10,,,,,,,,,,,,,,,3500,,0,0,0,,12 hrs (standard charger); 4.75 hrs (with 80A dual charger option),,,,,,233.7,242.2,238,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Tesla,Tesla Motors,Model X 75D,TSL,11,0.0,,Auto(A1),37,35,36,27.136,25.921,26.5893,36.9723,35.3228,36.23,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,238,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,700,700,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 2-cycle label,12/26/16,21348,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,350,250,150,On-Board,,,Electrical Regen Brake,,Both,N,,,,"Three battery sizes (75kwh, 90kWh and 100kWh) is available for 2017MY Model X AWD vehicles.",2,AC Induction,,193 and 193,,,,,N,N,,,N,No,75D,,,,,,,,,,10,10,,HTSLV00.0L2X,10,,,,,,,,,,,,,,,3500,,0,0,0,,12 hrs (standard charger); 4.75 hrs (with 80A dual charger option),,,,,,233.7,242.2,238,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2017 Tesla Model X AWD - 90D,,,,,,,,,,,,,,,,,2017 Tesla Model X AWD - 90D,,,,,,,,,,,,,,,,2017 Tesla Model X AWD - 90D,,,,,,,,,,,,,,,2017 Tesla Model X AWD - 90D,,,,,,,,,,,,,, ,,2017 Tesla Model X AWD - 90D,,,,,, ,,,,,,,,,,2017 Tesla Model X AWD - 90D,,,,,,,,,,,,,,,,,2017 Tesla Model X AWD - 90D,,,,,,,,,,,,,,,,,2017 Tesla Model X AWD - 90D,,,, ,,,,,,,,,,,2017 Tesla Model X AWD - 90D,,,,,,,,,,,,,,,2017 Tesla Model X AWD - 90D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Tesla,Tesla Motors,Model X 90D,TSL,9,0.0,,Auto(A1),90,94,92,123,128.6,125.4584,90.2795,94.3898,92.084,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,257,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,700,700,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 2-cycle label,12/26/16,21351,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,350,250,150,On-Board,,,Electrical Regen Brake,,Both,N,,,,"Three battery sizes (75kwh, 90kWh and 100kWh) is available for 2017MY Model X AWD vehicles.",2,AC Induction,,193 and 193,,,,,N,N,,,N,No,90D,,,,,,,,,,10,10,,HTSLV00.0L2X,10,,,,,,,,,,,,,,,3500,,0,0,0,,12 hrs (standard charger); 4.75 hrs (with 80A dual charger option),,,,,,252.4,262.7,257,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Tesla,Tesla Motors,Model X 90D,TSL,9,0.0,,Auto(A1),37,36,37,27.402,26.214,26.8674,37.334,35.7083,36.6025,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,257,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,700,700,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 2-cycle label,12/26/16,21351,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,350,250,150,On-Board,,,Electrical Regen Brake,,Both,N,,,,"Three battery sizes (75kwh, 90kWh and 100kWh) is available for 2017MY Model X AWD vehicles.",2,AC Induction,,193 and 193,,,,,N,N,,,N,No,90D,,,,,,,,,,10,10,,HTSLV00.0L2X,10,,,,,,,,,,,,,,,3500,,0,0,0,,12 hrs (standard charger); 4.75 hrs (with 80A dual charger option),,,,,,252.4,262.7,257,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2017 Tesla Model X AWD - P90D,,,,,,,,,,,,,,,,,2017 Tesla Model X AWD - P90D,,,,,,,,,,,,,,,,2017 Tesla Model X AWD - P90D,,,,,,,,,,,,,,,2017 Tesla Model X AWD - P90D,,,,,,,,,,,,,, ,,2017 Tesla Model X AWD - P90D,,,,,, ,,,,,,,,,,2017 Tesla Model X AWD - P90D,,,,,,,,,,,,,,,,,2017 Tesla Model X AWD - P90D,,,,,,,,,,,,,,,,,2017 Tesla Model X AWD - P90D,,,, ,,,,,,,,,,,2017 Tesla Model X AWD - P90D,,,,,,,,,,,,,,,2017 Tesla Model X AWD - P90D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Tesla,Tesla Motors,Model X P90D,TSL,10,0.0,,Auto(A1),89,90,89,120.7,122.5,121.5034,88.5914,89.9126,89.1811,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,250,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,750,750,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 2-cycle label,12/26/16,21350,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,350,250,150,On-Board,,,Electrical Regen Brake,,Both,N,,,,"Three battery sizes (75kwh, 90kWh and 100kWh) is available for 2017MY Model X AWD vehicles.",2,AC Induction,,193 and 375,,,,,N,N,,,N,No,P90D,,,,,,,,,,10,10,,HTSLV00.0L2X,10,,,,,,,,,,,,,,,3250,,0,0,0,,12 hrs (standard charger); 4.75 hrs (with 80A dual charger option),,,,,,247.3,252.7,250,,,,,,,,,,,,,,,,,,,,,,,,,
